generation,best_fitness,mean_fitness
1.000000000000000000e+00,1.013205864315199545e+00,1.525443914123752465e-01
2.000000000000000000e+00,1.706508976998897475e+00,9.442802900477811345e-01
3.000000000000000000e+00,2.407440866862151641e+00,1.340984224449075279e+00
4.000000000000000000e+00,2.407440866862151641e+00,1.753353849005129250e+00
5.000000000000000000e+00,2.507587073692580937e+00,1.707274170506035471e+00
6.000000000000000000e+00,2.826458747150122353e+00,1.545239906688606890e+00
7.000000000000000000e+00,2.826458747150122353e+00,1.545513932131690193e+00
8.000000000000000000e+00,3.862356840642976241e+00,2.110449136278509830e+00
9.000000000000000000e+00,4.824744174908168759e+00,3.150642842405189104e+00
1.000000000000000000e+01,5.273277260345063056e+00,2.663280588844366026e+00
1.100000000000000000e+01,6.311602896626814285e+00,3.703956572135679526e+00
1.200000000000000000e+01,7.136912620352233283e+00,4.775501514596003361e+00
1.300000000000000000e+01,7.746349490705447316e+00,4.617085461404354163e+00
1.400000000000000000e+01,8.121923561617656162e+00,5.692423536500085923e+00
1.500000000000000000e+01,8.121923561617656162e+00,5.374277634989029551e+00
1.600000000000000000e+01,8.192130988840906625e+00,5.160599431107130819e+00
1.700000000000000000e+01,8.192130988840906625e+00,4.598864853425273402e+00
1.800000000000000000e+01,8.325338733366674404e+00,4.451840948572732160e+00
1.900000000000000000e+01,8.331858426477646518e+00,5.964192805888636428e+00
2.000000000000000000e+01,8.331858426477646518e+00,5.748927251963428908e+00
2.100000000000000000e+01,8.331858426477646518e+00,5.351850623825915143e+00
2.200000000000000000e+01,8.331858426477646518e+00,5.132371258162235605e+00
2.300000000000000000e+01,8.381176229151563462e+00,5.638539629176186452e+00
2.400000000000000000e+01,8.381176229151563462e+00,5.068937218890878782e+00
2.500000000000000000e+01,8.381176229151563462e+00,4.352297435699683525e+00
2.600000000000000000e+01,8.382347470626999808e+00,6.237321001545570454e+00
2.700000000000000000e+01,8.464283639746644994e+00,5.884803440434992261e+00
