generation,best_fitness,mean_fitness
1.000000000000000000e+00,4.774810258403916485e-01,6.881174705549927828e-02
2.000000000000000000e+00,4.885507997839312333e-01,4.810544624624050192e-01
3.000000000000000000e+00,4.905177215214059916e-01,4.845111768014844777e-01
4.000000000000000000e+00,4.905177215214059916e-01,4.848643311360465447e-01
5.000000000000000000e+00,4.905177215214059916e-01,4.871348632394877365e-01
6.000000000000000000e+00,4.907666035233178570e-01,4.855247647520399279e-01
7.000000000000000000e+00,4.908166819877054499e-01,4.848553610684879223e-01
8.000000000000000000e+00,4.908166819877054499e-01,4.863304095197193422e-01
9.000000000000000000e+00,4.908166819877054499e-01,4.871200548291882981e-01
1.000000000000000000e+01,4.910230754001926323e-01,4.838825737762587065e-01
1.100000000000000000e+01,4.910230754001926323e-01,4.866180592240314517e-01
1.200000000000000000e+01,4.910230754001926323e-01,4.862093113260277377e-01
1.300000000000000000e+01,4.910230754001926323e-01,4.854158626330103421e-01
1.400000000000000000e+01,4.910230754001926323e-01,4.852768892595580863e-01
1.500000000000000000e+01,4.910230754001926323e-01,4.859632030034449213e-01
1.600000000000000000e+01,4.910230754001926323e-01,4.875808770105171108e-01
1.700000000000000000e+01,4.910230754001926323e-01,4.843222960062649740e-01
1.800000000000000000e+01,4.910230754001926323e-01,4.844589124491475163e-01
1.900000000000000000e+01,4.910230754001926323e-01,4.857978404777605341e-01
2.000000000000000000e+01,4.910230754001926323e-01,4.869887705979873971e-01
2.100000000000000000e+01,4.910230754001926323e-01,4.881211805749570698e-01
2.200000000000000000e+01,4.910230754001926323e-01,4.855111264431372642e-01
2.300000000000000000e+01,4.910573082069009665e-01,4.864932526018067582e-01
2.400000000000000000e+01,4.911031944218601231e-01,4.858491016504892235e-01
2.500000000000000000e+01,4.911031944218601231e-01,4.830855414395396896e-01
2.600000000000000000e+01,4.911031944218601231e-01,4.830212986258134999e-01
2.700000000000000000e+01,4.911031944218601231e-01,4.850531871792821415e-01
2.800000000000000000e+01,4.911031944218601231e-01,4.843731513269106115e-01
2.900000000000000000e+01,4.911031944218601231e-01,4.853264040287463277e-01
3.000000000000000000e+01,4.911031944218601231e-01,4.821179784517720668e-01
3.100000000000000000e+01,4.911031944218601231e-01,4.867886430589514757e-01
3.200000000000000000e+01,4.911031944218601231e-01,4.861852008894956834e-01
3.300000000000000000e+01,4.911176847242212373e-01,4.848224793221950213e-01
3.400000000000000000e+01,4.911176847242212373e-01,4.852962101776646664e-01
3.500000000000000000e+01,4.911176847242212373e-01,4.866198832706937760e-01
3.600000000000000000e+01,4.911176847242212373e-01,4.853006076311266459e-01
3.700000000000000000e+01,4.911176847242212373e-01,4.867220177929455494e-01
3.800000000000000000e+01,4.911176847242212373e-01,4.850254830784653803e-01
3.900000000000000000e+01,4.911176847242212373e-01,4.872631891502188783e-01
4.000000000000000000e+01,4.911176847242212373e-01,4.831640926196087982e-01
4.100000000000000000e+01,4.911176847242212373e-01,4.846074525951449274e-01
4.200000000000000000e+01,4.911176847242212373e-01,4.859685939617167105e-01
4.300000000000000000e+01,4.911176847242212373e-01,4.856185474061397445e-01
4.400000000000000000e+01,4.911176847242212373e-01,4.857184725614408505e-01
4.500000000000000000e+01,4.911176847242212373e-01,4.850988979227592313e-01
4.600000000000000000e+01,4.911176847242212373e-01,4.837675963002577295e-01
4.700000000000000000e+01,4.911176847242212373e-01,4.846194261958710614e-01
4.800000000000000000e+01,4.911176847242212373e-01,4.823362383463616898e-01
4.900000000000000000e+01,4.911405860449893357e-01,4.868859586989726651e-01
5.000000000000000000e+01,4.911405860449893357e-01,4.873776820799842757e-01
5.100000000000000000e+01,4.911405860449893357e-01,4.863763691899424257e-01
5.200000000000000000e+01,4.911405860449893357e-01,4.851596093444127122e-01
5.300000000000000000e+01,4.911405860449893357e-01,4.853912254265958515e-01
5.400000000000000000e+01,4.911405860449893357e-01,4.856667733786655949e-01
5.500000000000000000e+01,4.911405860449893357e-01,4.858937722158526151e-01
5.600000000000000000e+01,4.911405860449893357e-01,4.879477620541132765e-01
5.700000000000000000e+01,4.911405860449893357e-01,4.863043253473060545e-01
5.800000000000000000e+01,4.911405860449893357e-01,4.828206848988161326e-01
5.900000000000000000e+01,4.911405860449893357e-01,4.864529153354830160e-01
6.000000000000000000e+01,4.911405860449893357e-01,4.875264671749405809e-01
6.100000000000000000e+01,4.911405860449893357e-01,4.862270677636520988e-01
6.200000000000000000e+01,4.911405860449893357e-01,4.863180928670957082e-01
6.300000000000000000e+01,4.911405860449893357e-01,4.868138497501030004e-01
6.400000000000000000e+01,4.911405860449893357e-01,4.850415945779220084e-01
6.500000000000000000e+01,4.911405860449893357e-01,4.855730766925726027e-01
6.600000000000000000e+01,4.913057329882216662e-01,4.867249441193718384e-01
6.700000000000000000e+01,4.913057329882216662e-01,4.863185253432902866e-01
6.800000000000000000e+01,4.913057329882216662e-01,4.840322858941126793e-01
6.900000000000000000e+01,4.913057329882216662e-01,4.838880358598136588e-01
7.000000000000000000e+01,4.913057329882216662e-01,4.866924879335290943e-01
7.100000000000000000e+01,4.913057329882216662e-01,4.848700584435252092e-01
7.200000000000000000e+01,4.913057329882216662e-01,4.817268854514998866e-01
7.300000000000000000e+01,4.913057329882216662e-01,4.826917132255668652e-01
