generation,best_fitness,mean_fitness
1.000000000000000000e+00,4.712667537546065266e-01,-1.355596061882075598e-01
2.000000000000000000e+00,8.240703883449683742e-01,3.584950371499683874e-01
3.000000000000000000e+00,1.526700495005786529e+00,6.390558130700039197e-01
4.000000000000000000e+00,2.437972475906509562e+00,8.712978060007985359e-01
5.000000000000000000e+00,2.981378293379086664e+00,1.337094228927249384e+00
6.000000000000000000e+00,4.315365315169648497e+00,2.080896683295117899e+00
7.000000000000000000e+00,8.289810675208078905e+00,2.521091811568750618e+00
8.000000000000000000e+00,9.098015308232968223e+00,4.344685787493816953e+00
9.000000000000000000e+00,1.006639888933854365e+01,4.117578174126176549e+00
1.000000000000000000e+01,1.006639888933854365e+01,3.035145327071592014e+00
1.100000000000000000e+01,1.006639888933854365e+01,4.992689319084817612e+00
1.200000000000000000e+01,1.006639888933854365e+01,4.701208047850427008e+00
1.300000000000000000e+01,1.006639888933854365e+01,3.769089327216239127e+00
1.400000000000000000e+01,1.006639888933854365e+01,4.515553030069662022e+00
1.500000000000000000e+01,1.006639888933854365e+01,5.084735540471319482e+00
1.600000000000000000e+01,1.006639888933854365e+01,4.370049033411989470e+00
1.700000000000000000e+01,1.006639888933854365e+01,3.719805723353555749e+00
1.800000000000000000e+01,1.006639888933854365e+01,3.386498441352073563e+00
1.900000000000000000e+01,1.006639888933854365e+01,4.284815585684368600e+00
2.000000000000000000e+01,1.006639888933854365e+01,2.512547706294669947e+00
2.100000000000000000e+01,1.006639888933854365e+01,3.602100281334229770e+00
2.200000000000000000e+01,1.006639888933854365e+01,3.327024110532333712e+00
2.300000000000000000e+01,1.006639888933854365e+01,4.403231480336825321e+00
2.400000000000000000e+01,1.006639888933854365e+01,5.383051315950713622e+00
2.500000000000000000e+01,1.006639888933854365e+01,5.075463032438561228e+00
2.600000000000000000e+01,1.010843454914082962e+01,5.790740676283695265e+00
2.700000000000000000e+01,1.010843454914082962e+01,3.057643497045587910e+00
2.800000000000000000e+01,1.010843454914082962e+01,2.968957354975085394e+00
2.900000000000000000e+01,1.010843454914082962e+01,3.789947003446142215e+00
3.000000000000000000e+01,1.010843454914082962e+01,4.996447943170620576e+00
3.100000000000000000e+01,1.010843454914082962e+01,4.281314332280632406e+00
3.200000000000000000e+01,1.010843454914082962e+01,2.256442315645927454e+00
3.300000000000000000e+01,1.010843454914082962e+01,3.458300021712279460e+00
3.400000000000000000e+01,1.019584995351030621e+01,4.279829234359814549e+00
3.500000000000000000e+01,1.019584995351030621e+01,4.215034477586689476e+00
3.600000000000000000e+01,1.019584995351030621e+01,2.721114379203777300e+00
3.700000000000000000e+01,1.019584995351030621e+01,4.064154624021261597e+00
3.800000000000000000e+01,1.019584995351030621e+01,3.151098348800821292e+00
3.900000000000000000e+01,1.019584995351030621e+01,2.490070391657110527e+00
4.000000000000000000e+01,1.019584995351030621e+01,2.757080366582653319e+00
4.100000000000000000e+01,1.019584995351030621e+01,3.841664658414389866e+00
4.200000000000000000e+01,1.019584995351030621e+01,1.678134821312157410e+00
4.300000000000000000e+01,1.019584995351030621e+01,2.379673967983777061e+00
4.400000000000000000e+01,1.019584995351030621e+01,4.494680730443951333e+00
4.500000000000000000e+01,1.019584995351030621e+01,2.525453868351514863e+00
4.600000000000000000e+01,1.019584995351030621e+01,3.615711056726641282e+00
4.700000000000000000e+01,1.019584995351030621e+01,3.617630072298323007e+00
4.800000000000000000e+01,1.019584995351030621e+01,2.256065489380036038e+00
4.900000000000000000e+01,1.019584995351030621e+01,2.578560888189666223e+00
5.000000000000000000e+01,1.019584995351030621e+01,3.628617116300894452e+00
5.100000000000000000e+01,1.019584995351030621e+01,3.569403250654650694e+00
5.200000000000000000e+01,1.019584995351030621e+01,1.707999609317665701e+00
5.300000000000000000e+01,1.019584995351030621e+01,2.382317421429616555e+00
5.400000000000000000e+01,1.019584995351030621e+01,4.118952864890255583e+00
5.500000000000000000e+01,1.019584995351030621e+01,4.363572206662768238e+00
5.600000000000000000e+01,1.019584995351030621e+01,3.466005299790506200e+00
5.700000000000000000e+01,1.019584995351030621e+01,2.985010516297776917e+00
5.800000000000000000e+01,1.019584995351030621e+01,4.121598539479070844e+00
5.900000000000000000e+01,1.019584995351030621e+01,3.959432323337868098e+00
6.000000000000000000e+01,1.019584995351030621e+01,2.340021948114423544e+00
6.100000000000000000e+01,1.019584995351030621e+01,2.964279380886299720e+00
6.200000000000000000e+01,1.019584995351030621e+01,3.525994661790702089e+00
6.300000000000000000e+01,1.019584995351030621e+01,3.620512921305560461e+00
6.400000000000000000e+01,1.019584995351030621e+01,2.683974545319728566e+00
6.500000000000000000e+01,1.019584995351030621e+01,3.781010542223994353e+00
6.600000000000000000e+01,1.019584995351030621e+01,2.835138965474069739e+00
6.700000000000000000e+01,1.019584995351030621e+01,3.048770240957314748e+00
6.800000000000000000e+01,1.019584995351030621e+01,3.724405570744488081e+00
6.900000000000000000e+01,1.019584995351030621e+01,1.498427291972734610e+00
7.000000000000000000e+01,1.019584995351030621e+01,1.617613565513843499e+00
7.100000000000000000e+01,1.019584995351030621e+01,2.413658300628457987e+00
7.200000000000000000e+01,1.019584995351030621e+01,1.989120046251602769e+00
7.300000000000000000e+01,1.019584995351030621e+01,4.286099289639322407e+00
7.400000000000000000e+01,1.019584995351030621e+01,1.986537089780849641e+00
7.500000000000000000e+01,1.019584995351030621e+01,3.338503278647728223e+00
7.600000000000000000e+01,1.019584995351030621e+01,4.297039627956241503e+00
7.700000000000000000e+01,1.019584995351030621e+01,2.568127733553302594e+00
7.800000000000000000e+01,1.019584995351030621e+01,4.042457816049067176e+00
7.900000000000000000e+01,1.019584995351030621e+01,3.025180149256224915e+00
8.000000000000000000e+01,1.019584995351030621e+01,3.296909014819621397e+00
8.100000000000000000e+01,1.019584995351030621e+01,3.681593252996379739e+00
8.200000000000000000e+01,1.019584995351030621e+01,3.175252604059965567e+00
8.300000000000000000e+01,1.019584995351030621e+01,4.315564820342538965e+00
8.400000000000000000e+01,1.019584995351030621e+01,4.127565359889002750e+00
8.500000000000000000e+01,1.019584995351030621e+01,1.937029679307573860e+00
8.600000000000000000e+01,1.019584995351030621e+01,4.205008614443263681e+00
8.700000000000000000e+01,1.019584995351030621e+01,3.814671976604055992e+00
8.800000000000000000e+01,1.019584995351030621e+01,3.327284364251436699e+00
8.900000000000000000e+01,1.019584995351030621e+01,3.286099387308547559e+00
9.000000000000000000e+01,1.019584995351030621e+01,2.511894030699331815e+00
9.100000000000000000e+01,1.019584995351030621e+01,3.046940682591677607e+00
9.200000000000000000e+01,1.019584995351030621e+01,4.649477103949804402e+00
9.300000000000000000e+01,1.019584995351030621e+01,3.747664153414499655e+00
9.400000000000000000e+01,1.019584995351030621e+01,4.293089927620343360e+00
9.500000000000000000e+01,1.019584995351030621e+01,3.749659915780521935e+00
9.600000000000000000e+01,1.019584995351030621e+01,2.341920678389665333e+00
9.700000000000000000e+01,1.019584995351030621e+01,2.077578786858543580e+00
9.800000000000000000e+01,1.019584995351030621e+01,3.379834803499074614e+00
9.900000000000000000e+01,1.019584995351030621e+01,3.165207124563045316e+00
1.000000000000000000e+02,1.019584995351030621e+01,3.478965103292030570e+00
